subject,froi_size,froi,task,contrast,effect_size
078,294.0,1,EventsOrig,Perc_photo,-0.34437252212866987
078,162.0,2,EventsOrig,Perc_photo,-0.08067574139316509
078,64.0,3,EventsOrig,Perc_photo,0.5910839037387632
078,74.0,4,EventsOrig,Perc_photo,-0.1051875443978084
078,46.0,5,EventsOrig,Perc_photo,-0.07708416466155778
078,37.0,6,EventsOrig,Perc_photo,-0.5144433753715979
078,294.0,1,EventsOrig,Sem_sent,0.020373719370588152
078,162.0,2,EventsOrig,Sem_sent,0.25964475296621703
078,64.0,3,EventsOrig,Sem_sent,1.0986771100724582
078,74.0,4,EventsOrig,Sem_sent,0.1195465398297922
078,46.0,5,EventsOrig,Sem_sent,0.31960798508447147
078,37.0,6,EventsOrig,Sem_sent,-0.0670001120180697
078,294.0,1,EventsOrig,Perc_sent,-0.05814309841414698
078,162.0,2,EventsOrig,Perc_sent,0.09683925814834642
078,64.0,3,EventsOrig,Perc_sent,0.3500251352088526
078,74.0,4,EventsOrig,Perc_sent,-0.02978964351318978
078,46.0,5,EventsOrig,Perc_sent,0.06779677259897732
078,37.0,6,EventsOrig,Perc_sent,-0.4117663770511344
089,294.0,1,SWNloc,S,1.1034729479808918
089,162.0,2,SWNloc,S,0.5386790669323884
089,64.0,3,SWNloc,S,0.45119581611894927
089,74.0,4,SWNloc,S,1.0512425277113646
089,46.0,5,SWNloc,S,3.3301284071327983
089,37.0,6,SWNloc,S,2.1585791409015656
089,294.0,1,SWNloc,W,0.6380420396901147
089,162.0,2,SWNloc,W,0.33475897566380874
089,64.0,3,SWNloc,W,0.09232542882091366
089,74.0,4,SWNloc,W,0.4420786131790059
089,46.0,5,SWNloc,W,2.51767953193706
089,37.0,6,SWNloc,W,1.3566652141712807
089,294.0,1,SWNloc,N,0.06721393955272756
089,162.0,2,SWNloc,N,-0.16439892728563874
089,64.0,3,SWNloc,N,-0.2843925876004505
089,74.0,4,SWNloc,N,-0.2152489246548833
089,46.0,5,SWNloc,N,1.5313419139795545
089,37.0,6,SWNloc,N,0.327596253900042
089,294.0,1,EventsOrig,Sem_photo,0.2744357437655634
089,162.0,2,EventsOrig,Sem_photo,0.403617693502226
089,64.0,3,EventsOrig,Sem_photo,1.35057607665658
089,74.0,4,EventsOrig,Sem_photo,0.48815306014305837
089,46.0,5,EventsOrig,Sem_photo,0.28541587147375813
089,37.0,6,EventsOrig,Sem_photo,0.6821126112261334
089,294.0,1,EventsOrig,Perc_photo,0.589761386568449
089,162.0,2,EventsOrig,Perc_photo,0.5837748355151694
089,64.0,3,EventsOrig,Perc_photo,1.500076986150816
089,74.0,4,EventsOrig,Perc_photo,1.0748058142694268
089,46.0,5,EventsOrig,Perc_photo,1.65926273231921
089,37.0,6,EventsOrig,Perc_photo,1.5191538857447136
089,294.0,1,EventsOrig,Sem_sent,1.3398018986823
089,162.0,2,EventsOrig,Sem_sent,0.6462130492760075
089,64.0,3,EventsOrig,Sem_sent,1.1236556216608733
089,74.0,4,EventsOrig,Sem_sent,1.7509156562186576
089,46.0,5,EventsOrig,Sem_sent,3.618998911069787
089,37.0,6,EventsOrig,Sem_sent,2.786257779276049
089,294.0,1,EventsOrig,Perc_sent,1.4357939993037658
089,162.0,2,EventsOrig,Perc_sent,0.6699884855705831
089,64.0,3,EventsOrig,Perc_sent,1.0089705551508814
089,74.0,4,EventsOrig,Perc_sent,1.8915362551405623
089,46.0,5,EventsOrig,Perc_sent,4.1865136519722315
089,37.0,6,EventsOrig,Perc_sent,2.9027476890667065
076,294.0,1,SWNloc,S,1.1185144369841604
076,162.0,2,SWNloc,S,-0.08726144664119732
076,64.0,3,SWNloc,S,0.41004418965409667
076,74.0,4,SWNloc,S,1.2329936862319104
076,46.0,5,SWNloc,S,2.346010940908657
076,37.0,6,SWNloc,S,-0.6699547296272473
076,294.0,1,SWNloc,W,0.8837839872861395
076,162.0,2,SWNloc,W,-0.32154911119536855
076,64.0,3,SWNloc,W,-0.30581342545337975
076,74.0,4,SWNloc,W,1.4105410408732053
076,46.0,5,SWNloc,W,2.669926555260368
076,37.0,6,SWNloc,W,-0.9688289580564644
076,294.0,1,SWNloc,N,0.1277266181069595
076,162.0,2,SWNloc,N,-0.4652592402196838
076,64.0,3,SWNloc,N,-0.9049963656192025
076,74.0,4,SWNloc,N,0.6686720769705046
076,46.0,5,SWNloc,N,0.8001025240544392
076,37.0,6,SWNloc,N,-0.999475781797423
076,294.0,1,EventsOrig,Sem_photo,-0.05111269794759296
076,162.0,2,EventsOrig,Sem_photo,-0.2583466696518439
076,64.0,3,EventsOrig,Sem_photo,1.4787180349230766
076,74.0,4,EventsOrig,Sem_photo,2.4405165459658646
076,46.0,5,EventsOrig,Sem_photo,0.7149366269940916
076,37.0,6,EventsOrig,Sem_photo,-0.8762015660066862
076,294.0,1,EventsOrig,Perc_photo,0.9485550975160939
