subject,froi,task1,task2,effect1,effect2,fisher_z
040,LAngG,EventsOrig,SWNloc,Perc_sent,W,0.08070244187409253
040,LIFG_orb,EventsOrig,SWNloc,Perc_sent,N,0.11406856477555706
040,LIFG,EventsOrig,SWNloc,Perc_sent,N,0.3756372232327499
040,LMFG,EventsOrig,SWNloc,Perc_sent,N,-0.38373965684680206
040,LAntTemp,EventsOrig,SWNloc,Perc_sent,N,0.20868752667609464
040,LPostTemp,EventsOrig,SWNloc,Perc_sent,N,1.3168304646974058
040,LAngG,EventsOrig,SWNloc,Perc_sent,N,0.09351944121084833
040,LIFG_orb,EventsOrig,EventsOrig,Perc_sent,Sem_photo,0.4773926868065777
040,LIFG,EventsOrig,EventsOrig,Perc_sent,Sem_photo,0.17551172092285547
040,LMFG,EventsOrig,EventsOrig,Perc_sent,Sem_photo,0.07486835904719293
040,LAntTemp,EventsOrig,EventsOrig,Perc_sent,Sem_photo,0.10054644374072409
040,LPostTemp,EventsOrig,EventsOrig,Perc_sent,Sem_photo,0.9420046663185202
040,LAngG,EventsOrig,EventsOrig,Perc_sent,Sem_photo,-0.04969102154000643
040,LIFG_orb,EventsOrig,EventsOrig,Perc_sent,Perc_photo,0.3420490020759436
040,LIFG,EventsOrig,EventsOrig,Perc_sent,Perc_photo,-0.30920060191156085
040,LMFG,EventsOrig,EventsOrig,Perc_sent,Perc_photo,0.07751256271638407
040,LAntTemp,EventsOrig,EventsOrig,Perc_sent,Perc_photo,0.19859721557784973
040,LPostTemp,EventsOrig,EventsOrig,Perc_sent,Perc_photo,0.9374653426048718
040,LAngG,EventsOrig,EventsOrig,Perc_sent,Perc_photo,-0.235506619455707
040,LIFG_orb,EventsOrig,EventsOrig,Perc_sent,Sem_sent,0.2619087312383625
040,LIFG,EventsOrig,EventsOrig,Perc_sent,Sem_sent,0.31027400205491457
040,LMFG,EventsOrig,EventsOrig,Perc_sent,Sem_sent,0.3686203642354703
040,LAntTemp,EventsOrig,EventsOrig,Perc_sent,Sem_sent,0.30422451815989576
040,LPostTemp,EventsOrig,EventsOrig,Perc_sent,Sem_sent,0.9895639883830416
040,LAngG,EventsOrig,EventsOrig,Perc_sent,Sem_sent,0.05489276475300445
040,LIFG_orb,EventsOrig,EventsOrig,Perc_sent,Perc_sent,0.37214884243937774
040,LIFG,EventsOrig,EventsOrig,Perc_sent,Perc_sent,-0.05599412006898305
