froi,size,effect_run,froi_run,subject,effect
2,0.8664040994028457,2,orth2,019,S
2,0.26913938956064987,3,orth3,019,S
3,0.5750729283608962,1,orth1,019,S
3,0.5357696907194622,2,orth2,019,S
3,0.30725323162187124,3,orth3,019,S
4,2.553523324631356,1,orth1,019,S
4,1.533252599271568,2,orth2,019,S
4,0.5479149189463036,3,orth3,019,S
5,2.2342592111748196,1,orth1,019,S
5,0.8053222051113034,2,orth2,019,S
5,1.0203566590890936,3,orth3,019,S
6,3.535990927670453,1,orth1,019,S
6,1.6695323276358682,2,orth2,019,S
6,0.11109212735617482,3,orth3,019,S
1,0.8336786290370941,1,orth1,019,W
1,-0.018120222493727394,2,orth2,019,W
1,0.1894585982138896,3,orth3,019,W
2,0.6605643122212639,1,orth1,019,W
2,0.5854947783471873,2,orth2,019,W
2,0.04017278531503024,3,orth3,019,W
3,0.2933790110546397,1,orth1,019,W
3,0.2114495144051034,2,orth2,019,W
3,0.2119284386135405,3,orth3,019,W
4,1.674166297892461,1,orth1,019,W
4,0.5002111897778672,2,orth2,019,W
4,0.23863390543674295,3,orth3,019,W
5,1.411977604401055,1,orth1,019,W
5,0.09169177778834559,2,orth2,019,W
5,1.1193471053291275,3,orth3,019,W
6,1.8742463395402238,1,orth1,019,W
6,0.29919349774718285,2,orth2,019,W
6,0.08219511421221132,3,orth3,019,W
1,0.3956238622795973,1,orth1,019,N
1,-0.2217839718067727,2,orth2,019,N
1,-0.2333293402052175,3,orth3,019,N
2,0.13334071237225958,1,orth1,019,N
2,0.19993657522718422,2,orth2,019,N
2,-0.35686461151617777,3,orth3,019,N
3,-0.019210922182537615,1,orth1,019,N
3,-0.12173414972494356,2,orth2,019,N
3,-0.21376961631904123,3,orth3,019,N
4,1.5909673329946157,1,orth1,019,N
4,0.0865657231046793,2,orth2,019,N
4,-0.5753333171628214,3,orth3,019,N
5,0.8419506399203902,1,orth1,019,N
5,-0.34975672027339105,2,orth2,019,N
5,0.0852668394294122,3,orth3,019,N
6,1.7848245944525745,1,orth1,019,N
6,0.07138667300947614,2,orth2,019,N
6,-0.43452324713202745,3,orth3,019,N
1,2.19553455901744,1,orth1,070,S
1,2.691506899893284,2,orth2,070,S
1,1.915802110639103,3,orth3,070,S
2,1.1281785357881475,1,orth1,070,S
2,1.4128963364644642,2,orth2,070,S
2,0.4096749566903591,3,orth3,070,S
3,0.6679361195565434,1,orth1,070,S
3,0.8625992019951809,2,orth2,070,S
3,0.7692104946181644,3,orth3,070,S
4,2.85630665115408,1,orth1,070,S
4,2.7084874091921627,2,orth2,070,S
4,0.519457471508193,3,orth3,070,S
5,3.4567871301070503,1,orth1,070,S
5,3.4540949710037396,2,orth2,070,S
5,1.9417799968758356,3,orth3,070,S
6,2.2745734372654476,1,orth1,070,S
6,3.4223154090546273,2,orth2,070,S
